,0
0,0ByMNEPAPpOR5H69DVrTNy
1,12VWzyPDBCc8fqeWCAfNwR
2,6C7RJEIUDqKkJRZVWdkfkH
3,66TRwr5uJwPt15mfFkzhbi
4,49FYlytm3dAAraYgpoJZux
5,3pD0f7hSJg2XdQ6udw5Tey
6,5fVZC9GiM4e8vu99W0Xf6J
7,7wZUrN8oemZfsEd1CGkbXE
8,4E6cwWJWZw2zWf7VFbH7wf
9,519tXYJVcrpEMqV2BMbh6E
10,7tAXHZdp9UpcYrHn7MZqfo
11,1mea3bSkSGXuIRvnydlB5b
12,3tvWMBIblzT5FSjKtIeRR1
13,2VOomzT6VavJOGBeySqaMc
14,7xRNsqOQOgWbHV1nbXnfXN
15,3E5XrOtqMAs7p2wKhwgOjf
16,1EzrEOXmMH3G43AXT1y7pA
17,6ihL9TjfRjadfEePzXXyVF
18,4IoYz8XqqdowINzfRrFnhi
19,16GHcGtW9Io7AuVdNmTjv3
20,0V8FYVlBFuXXTIvRnMbZyS
21,7jk7gqyEonmVVYahZN5zhW
22,4JehYebiI9JE8sR8MisGVb
23,7LR85XLWw2yXqKBSI5brbG
24,7gDKfEMIhyyO4asgEXwcrs
25,2zJZwWF7BTGIIvrAlgzJEx
26,3FgxTW3HiEqSvR9h1H4q5J
27,6fvxos1qSHrIgOkKw4dhWS
28,0KpfYajJVVGgQ32Dby7e9i
29,6tS3XVuOyu10897O3ae7bi
30,6lV2MSQmRIkycDScNtrBXO
31,1DqdF42leyFIzqNDv9CjId
32,59dLtGBS26x7kc0rHbaPrq
33,3iL2l5gUqyPS6vDwJFgJTR
34,1IaYWv32nFFMdljBIjMY5T
35,7BqBn9nzAq8spo5e7cZ0dJ
36,2DPYlWl50ydYsnnuryL5aX
37,2igwFfvr1OAGX9SKDCPBwO
38,5tXyNhNcsnn7HbcABntOSf
39,7Ie9W94M7OjPoZVV216Xus
40,5vlEg2fT4cFWAqU5QptIpQ
41,38xWaVFKaxZlMFvzNff2aW
42,15pu8u4n3q4BKl4tF20c5v
43,7ksYJ95P5vP87A0GH34CIk
44,4fIWvT19w9PR0VVBuPYpWA
45,2GblQ918RbkOs4Yo1Rpkcj
46,4lCv7b86sLynZbXhfScfm2
47,4z8ssgZfs5TzKiO8HaGWXO
48,4QNpBfC0zvjKqPJcyqBy9W
49,7LcfRTgAVTs5pQGEQgUEzN
50,0Oe49j06Bjrxs8PltuVeaW
51,08Bfk5Y2S5fCxgxk371Eel
52,455AfCsOhhLPRc68sE01D8
53,3rDFqo8yv93PtTmdOYOPzX
54,12lZTPlXwUtrQuhEty6098
55,6r2BECwMgEoRb5yLfp0Hca
56,5xZtUAVUVfjBtVtMOgMkyy
57,4kflIGfjdZJW4ot2ioixTB
58,6OtCIsQZ64Vs1EbzztvAv4
59,4NTWZqvfQTlOMitlVn6tew
60,0JNdS1n0ifOP25XvhwAMgM
61,5jaz6aiRknA63NIYWdbr2O
62,5A6OHHy73AR5tLxgTc98zz
63,0qOnSQQF0yzuPWsXrQ9paz
64,6Iocm6VMu6bVNYwiDoyQFW
65,6jAsmDJI8iPhGWtS27kZ67
66,4wCmqSrbyCgxEXROQE6vtV
67,7a86XRg84qjasly9f6bPSD
68,7gUpO6td4OOnu0Lf9vhcIV
69,6D60klaHqbCl9ySc8VcRss
70,0385HqYimoTQaHZP17KwG1
71,1LbhI0PgXF5kyJEE88xoUU
72,3SPDQfj2UfWq6A2NllZnzn
73,3CKCZ9pfwAfoMZlMncA1Nc
74,0obBFrPYkSoBJbvHfUIhkv
75,6t6oULCRS6hnI7rm0h5gwl
76,5JLv62qFIS1DR3zGEcApRt
77,3NcO4jGK1Opb5ea0mYLpxb
78,0ltBH1JNzSvQJPjJpvTu9B
79,1wAXODAAL6hY64ZdhrnjBO
80,3tyPOhuVnt5zd5kGfxbCyL
81,77TT8Xvx637TpzV8kKGkUw
82,05pKAafT85jeeNhZ6kq7HT
83,4rMNgxEwGWoPHIUcvB5BrB
84,0171XsIM2xyeXRr6wsugEI
85,4sK96UnGx3NjBaqvfTG2dm
86,0pwYLVXVknPSGUQb39cePC
