id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,pitch_var,weight_var
0ByMNEPAPpOR5H69DVrTNy,0.835,0.669,6,-5.582,0,0.0643,0.0336,6.92E-05,0.0535,0.542,122.668,267080,4,10.49546181,0.011610256
1j3H54xdahpAkNI0q6S89q,0.659,0.696,3,-4.291,1,0.071,0.143,0,0.13,0.665,86.001,252160,4,12.25597162,0.017078019
12VWzyPDBCc8fqeWCAfNwR,0.785,0.617,1,-5.871,1,0.0522,0.00902,0.00246,0.351,0.382,103.981,173987,4,8.953968686,0.014025376
6C7RJEIUDqKkJRZVWdkfkH,0.625,0.726,10,-7.731,0,0.155,0.00728,0,0.318,0.483,103.98,311867,4,10.07272576,0.017950618
66TRwr5uJwPt15mfFkzhbi,0.732,0.724,0,-2.104,1,0.101,0.511,0,0.0491,0.808,140.13,221933,4,16.66128517,0.013233618
49FYlytm3dAAraYgpoJZux,0.583,0.829,1,-4.603,1,0.134,0.00864,0,0.0426,0.575,174.028,275987,4,12.30368902,0.025199096
1q9siR3OqGFnTeqFxwzN1S,0.756,0.786,1,-3.453,1,0.0348,0.201,0,0.158,0.736,119.962,246467,4,9.363561105,0.014390756
3pD0f7hSJg2XdQ6udw5Tey,0.687,0.723,7,-4.751,1,0.0709,0.122,0.00102,0.573,0.432,76,448573,4,13.89021723,0.010166298
5fVZC9GiM4e8vu99W0Xf6J,0.64,0.743,10,-4.08,1,0.0379,0.269,0,0.101,0.361,122.035,262533,4,12.59756714,0.037980395
0CAfXk7DXMnon4gLudAp7J,0.918,0.609,10,-5.64,0,0.0791,0.0928,0,0.139,0.304,128.008,231400,4,8.581098061,0.024138515
7wZUrN8oemZfsEd1CGkbXE,0.638,0.656,5,-5.886,1,0.0357,0.188,0,0.146,0.225,104.036,262467,4,14.80737969,0.031545434
1NrJYpdAi7uosDRPmSYrsG,0.591,0.718,8,-6.025,1,0.0368,0.348,0.000118,0.107,0.468,117.995,208107,4,12.74401055,0.209097787
4E6cwWJWZw2zWf7VFbH7wf,0.583,0.786,2,-3.142,0,0.0301,0.0208,0,0.188,0.573,123.052,258827,4,15.73003202,0.121558917
519tXYJVcrpEMqV2BMbh6E,0.466,0.759,8,-4.978,0,0.199,0.0521,0,0.0587,0.328,160.033,264373,4,15.03446328,0.07560746
7tAXHZdp9UpcYrHn7MZqfo,0.672,0.819,11,-4.457,1,0.0463,0.0371,0.000184,0.203,0.446,120.013,278036,4,14.55490537,0.022090451
1mea3bSkSGXuIRvnydlB5b,0.485,0.619,5,-7.115,0,0.0289,0.0941,3.31E-06,0.109,0.416,138.017,242373,4,10.25002597,0.047149943
3tvWMBIblzT5FSjKtIeRR1,0.68,0.687,9,-6.162,0,0.0709,0.0161,0,0.261,0.467,150.053,249533,4,17.53594044,0.015141053
2VOomzT6VavJOGBeySqaMc,0.707,0.813,11,-4.515,0,0.0571,0.0863,0,0.168,0.722,124.921,238627,4,15.8536,0.068774936
7xRNsqOQOgWbHV1nbXnfXN,0.869,0.851,9,-6.201,1,0.0827,0.15,0.000873,0.136,0.395,130.09,251440,4,12.51885414,0.011011658
